"Tag","Text"

"For url: 1","https://pec.ac.in/"
"Title ","Welcome to Punjab Engineering College | Punjab Engineering College"
"p","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","Lecture on Piezoelectrics: Fundamentals and Applications on 10th September, 2020 at 10:30 AM. by Applied Science Department"
"p","One week STC on Micro Manufacturing from 4th to 8th January, 2021"
"p","Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19"
"p","Manual to Access pec.edu.in Email ID"
"p","As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Punjab Engineering College (Deemed to be University), Chandigarh"
"h3","Distinguished Alumnus Award"
"h3","Top Stories"
"h3","Explore"
"h3","Announcements"
"h3","Important Links"
"h3","Headlines"
"h3","Connect"
"h3","Recent Research Activities"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 2","https://pec.ac.in/#main-content"
"Title ","Welcome to Punjab Engineering College | Punjab Engineering College"
"p","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
"p","PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life."
"p","A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India."
"p","PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi."
"p","Lecture on Piezoelectrics: Fundamentals and Applications on 10th September, 2020 at 10:30 AM. by Applied Science Department"
"p","One week STC on Micro Manufacturing from 4th to 8th January, 2021"
"p","Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19"
"p","Manual to Access pec.edu.in Email ID"
"p","As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Punjab Engineering College (Deemed to be University), Chandigarh"
"h3","Distinguished Alumnus Award"
"h3","Top Stories"
"h3","Explore"
"h3","Announcements"
"h3","Important Links"
"h3","Headlines"
"h3","Connect"
"h3","Recent Research Activities"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 3","https://pec.ac.in/institute/email-services"
"Title ","Webmail | Punjab Engineering College"
"p","Quick Links"
"p","Email Services are provided to Faculty Members and Students of the institute to quickly and easily send electronic files such as text documents, photos and data sheets through an email."
"p","Support: For queries email to : webmaster@pec.edu.in."
"p","Steps to Access pec.edu.in Email: Click here to Download Manual"
"p","New Email Server (mail.pec.edu.in)"
"p","Old Email Server (mail.pec.ac.in)"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 4","https://pec.ac.in/jobs"
"Title ","Jobs | Punjab Engineering College"
"p","Quick Links"
"p","Dean Infrastructure, Planning & Estate PEC intends to engage 01 No. University Engineer & 01 No. Junior Engineer, Civil background for Estate Office. Last date to receive the applications is 14.09.2020."
"p","Applications are invited from Indian national candidates for JRF under one sponsored research project titled “Machine Learning for prediction of Avalanche”"
"p","Note: The last date of receiving of applications is extended till 18.9.2020. The date for conducting an online interview will be communicated with candidates through email."
"p","Archive of Previous job Openings"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Rolling Advertisement"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 5","https://pec.ac.in/tenders"
"Title ","Tenders | Punjab Engineering College"
"p","Quick Links"
"p","E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012"
"p","Archive of Previous Tenders"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 6","https://pec.ac.in/office-orders"
"Title ","Office Orders | Punjab Engineering College"
"p","Quick Links"
"p","All Departments/ Centres/ Deans/ Sections will function with 100% staff w.e.f 01.09.2020"
"p","Constitution of a committee for coordinating activities related to COVID 19"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 7","https://pec.ac.in/nirf-data-20"
"Title ","Data Submitted for Participation in National Institutional Ranking Framework (NIRF), India Rankings 2020 | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 8","https://pec.ac.in/node/549"
"Title ","RTI | Punjab Engineering College"
"p","Quick Links"
"p","An Act to provide for setting out the practical regime of right to information for citizens to secure access to information under the control of public authorities, in order to promote transparency and accountability in the working of every public authority, the constitution of a Central Information Commission and State Information Commissions and for matters connected therewith or incidental thereto."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 9","https://pec.ac.in/tnp/about-cell"
"Title ","Career Development & Guidance Centre | Punjab Engineering College"
"p","Quick Links"
"p","Career Development & Guidance Centre offers an all-round career solution to the students. Centre guides the students to decide and pursue their dream careers in different sectors be it engineering, IT, Analytics, Consulting , research and development, Operations etc . The whole placement process is organised and executed by this centre . The campus interviews are held under the supervison and jurisdiction of this centre and relevant feedback is obtained fom the industry . Career Development and Guidance Centre works hard to arrange full semester industrial internship , which is stipulated under the academic curriculum . The centre has kept a close liaison with many companies in the country."
"p","The centre also arranges career talks for dissemination of knowledge regarding the employment opportunities in the industry related to the relevant fields and interest of the students . Centre keeps record of the students who undergo internships and the companies which come for recruitment. In addition Finishing School / Soft Skills Development Workshops are also organised to improve the communication skills of students."
"p","Centre encourages visits to the industries by the institute students and arranges industrial problems to be worked out by students as part of their projects . It also takes suggestions from members of the Industry regarding designing / changing of curriculum ."
"p","Centre takes care of :"
"p","a) Career Development & Guidance Program"
"p","b) Internship & Full Time Placement Activities"
"p","c) Facilitate Pre-Placement visits to the companies"
"p","d) Communication, Networking & Relationship Building with Potential Recruiters."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Career Development & Guidance Centre"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"

"For url: 10","https://pec.ac.in/institute-functionaries"
"Title ","Contact Us | Punjab Engineering College"
"p","Quick Links"
"p","S.No."
"p","Name of committee"
"p","Chairperson"
"p","Members (Prof./ Dr./ Sh./ Ms.)"
"p","Standing Committee for Recruitment"
"p","Director"
"p","Institutional Purchase/ Tender Committee"
"p","Deputy Director"
"p","Library Advisory Committee"
"p","R. Sehmi, Applied Science Department"
"p","Standing Committee of Senate"
"p","Uma Batra, Department of Materials and Metallurgical Engineering"
"p","Faculty & Staff Grievance Redressal Committee"
"p","Deputy Director"
"p","Sexual Harassment & Violence against Women Committee at Workplace"
"p","Rintu Khanna, Electrical Engineering Department"
"p","Performance based award for Faculty & Staff"
"p","Deputy Director"
"p","Commercial & House Allotment Committee"
"p","Deputy Director"
"p","Master Plan & Space Allocation Committee"
"p","Deputy Director"
"p","Auction & Disposal Committee"
"p","Deputy Director"
"p","*Shall coordinate/ convener of the committee."
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Administration"
"h3","Research"
