"Tag","Text"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Institute"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"
""
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"h3","Computer Science & Engineering"
"h3","Academics"
"h3","Research"
"h3","Academics"
"h3","Facilities"
"h3","Information"
""
"Total urls text scraped: 100"
